0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:28:54 +0530] "GET /ayush/Varsity/assets/img/counter-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:28:54 +0530] "GET /ayush/Varsity/assets/img/testimonial-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:28:54 +0530] "GET /ayush/Varsity/assets/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:28:55 +0530] "GET /ayush/Varsity/assets/img/slider/ajax-loader.gif HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:28:55 +0530] "GET /ayush/Varsity/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:00 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:01 +0530] "GET /ayush/Varsity/assets/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:03 +0530] "GET /ayush/Varsity/assets/img/loader.gif HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/theme-color/default-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/jquery.mixitup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:17:29:31 +0530] "GET /ayush/Varsity/assets/js/jquery.min.js HTTP/1.1" 304 -
